,importance,name
517,0.00028104176991168545,"sensor2__fft_coefficient__attr_""abs""__coeff_7"
474,0.0002710493122017059,"sensor1__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6"
373,0.0002701961867880815,sensor0__quantile__q_0.4
157,0.0002656944817889686,"sensor0__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)"
828,0.00026311898268546724,"sensor3__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8"
223,0.0002621959396215466,"sensor0__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)"
827,0.00025936989959526516,sensor1__quantile__q_0.4
763,0.00025930579518405444,sensor2__maximum
950,0.0002568345550756162,sensor2__partial_autocorrelation__lag_3
1026,0.000256516787568569,sensor3__quantile__q_0.1
151,0.00025602267473229115,"sensor2__fft_coefficient__attr_""real""__coeff_0"
538,0.00025573162998439476,"sensor3__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4"
342,0.00025514110632184387,"sensor0__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min"""
1156,0.00025358053115201717,"sensor3__fft_coefficient__attr_""real""__coeff_3"
434,0.0002494245642191957,"sensor3__fft_coefficient__attr_""abs""__coeff_0"
170,0.0002482797839040339,sensor2__quantile__q_0.7
133,0.00024685159700476076,sensor0__permutation_entropy__dimension_4__tau_1
438,0.00024542816871831976,"sensor1__fft_coefficient__attr_""abs""__coeff_6"
1041,0.00024236030115505676,"sensor1__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0"
698,0.00024092245776536164,"sensor2__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var"""
494,0.00023958064735843734,"sensor3__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)"
1225,0.00023943032206711782,"sensor0__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8"
1216,0.00023279766177317052,"sensor1__fft_coefficient__attr_""real""__coeff_10"
650,0.00023186022378425333,sensor0__friedrich_coefficients__coeff_0__m_3__r_30
1238,0.000230525070692502,sensor2__autocorrelation__lag_7
523,0.00022674641316239273,"sensor3__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)"
227,0.00022588398896864848,"sensor0__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0"
1178,0.0002248285504731731,"sensor1__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8"
1157,0.0002229008041893683,"sensor0__cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)"
250,0.00022248291507598962,"sensor2__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)"
1068,0.00022075825225782494,"sensor0__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)"
